timestamp,left_motor_1_target,left_motor_1_actual,left_motor_2_target,left_motor_2_actual
9.321,-1.138904333114624,-1.1899999380111694,-1.138904333114624,-1.2100000381469727
9.321,-1.1246380805969238,-1.184999942779541,-1.1246380805969238,-1.2050000429153442
9.322,-1.1082087755203247,-1.1799999475479126,-1.1082087755203247,-1.1899999380111694
9.322,-1.0896164178848267,-1.1699999570846558,-1.0896164178848267,-1.1749999523162842
9.323,-1.0688608884811401,-1.1649999618530273,-1.0688608884811401,-1.149999976158142
9.323,-1.0459423065185547,-1.149999976158142,-1.0459423065185547,-1.125
9.324,-1.0208605527877808,-1.1349999904632568,-1.0208605527877808,-1.100000023841858
9.324,-0.9936157464981079,-1.1100000143051147,-0.9936157464981079,-1.0649999380111694
9.325,-0.9642078280448914,-1.0800000429153442,-0.9642078280448914,-1.0250000953674316
9.325,-0.9326367974281311,-1.0350000858306885,-0.9326367974281311,-0.9900000095367432
9.326,-0.8989026546478271,-0.9649999141693115,-0.8989026546478271,-0.9649999141693115
9.326,-0.8630053997039795,-0.9049999713897705,-0.8630053997039795,-0.9449999332427979
9.327,-0.8249450922012329,-0.8550000190734863,-0.8249450922012329,-0.9200000762939453
9.328,-0.7847216129302979,-0.809999942779541,-0.7847216129302979,-0.8849999904632568
9.328,-0.7423350811004639,-0.7750000953674316,-0.7423350811004639,-0.8499999046325684
9.329,-0.6977853775024414,-0.7400000095367432,-0.6977853775024414,-0.8050000667572021
9.329,-0.65107262134552,-0.7000000476837158,-0.65107262134552,-0.75
9.33,-0.6021966934204102,-0.6700000762939453,-0.6021966934204102,-0.6649999618530273
9.33,-0.5511577725410461,-0.6349999904632568,-0.5511577725410461,-0.5999999046325684
9.331,-0.49795567989349365,-0.5999999046325684,-0.49795567989349365,-0.5499999523162842
9.331,-0.44259047508239746,-0.559999942779541,-0.44259047508239746,-0.505000114440918
9.332,-0.38506218791007996,-0.5099999904632568,-0.38506218791007996,-0.4500000476837158
9.332,-0.32537081837654114,-0.4549999237060547,-0.32537081837654114,-0.38499999046325684
9.333,-0.26351624727249146,-0.36500000953674316,-0.26351624727249146,-0.3250000476837158
9.333,-0.19949866831302643,-0.25500011444091797,-0.19949866831302643,-0.28999996185302734
9.334,-0.13331793248653412,-0.19499993324279785,-0.13331793248653412,-0.25999999046325684
9.334,-0.06497415155172348,-0.125,-0.06497415155172348,-0.2200000286102295
9.335,0.005532790441066027,-0.039999961853027344,0.005532790441066027,-0.1549999713897705
9.335,0.0782027617096901,0.03500008583068848,0.0782027617096901,-0.04999995231628418
9.336,0.15303602814674377,0.07500004768371582,0.15303602814674377,0.06500005722045898
9.336,0.23003219068050385,0.10500001907348633,0.23003219068050385,0.1399998664855957
9.337,0.3091915249824524,0.1399998664855957,0.3091915249824524,0.24000000953674316
9.338,0.3905140161514282,0.19000005722045898,0.3905140161514282,0.35500001907348633
